Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
2157,Consulting,Change Management Engagement #3156,Philippines,Meridian Technologies Inc.,Internal - Corporate Affairs,Includes 24/7 support SLA with penalty clauses,29-ก.ย.-2024,29-ก.ย.-2024,25-เม.ย.-2027,Somchai G.,Scope extension being discussed with partner,Renewed,"$787,300"
2158,Consulting,Digital Transformation Consulting #3157,India,Nova Partners Pvt. Ltd.,Internal - HR Dept.,Includes quarterly business review meetings,18-ส.ค.-2022,18-ส.ค.-2022,04-พ.ย.-2025,Wanida B.,Scope extension being discussed with partner,Expired/Not renewed,"$116,100"
2159,Legal,Litigation Support Contract #3158,South Korea,"Bright Trading Co., Ltd.",Internal - Procurement,-,24-ม.ค.-2025,24-ม.ค.-2025,20-พ.ย.-2026,Priya E.,Alternative vendors being benchmarked,Upcoming renewal,"$412,200"
2160,Training & Development,Leadership Development Engagement #3159,Indonesia,Horizon Innovations PT,Internal - Marketing Dept.,Includes 24/7 support SLA with penalty clauses,19-ต.ค.-2020,26-ต.ค.-2020,12-พ.ค.-2024,Ploy S.,"Renewal quote received, under internal review",Expired/Not renewed,"$132,800"
2161,Consulting,Business Process Improvement Engagement #3160,Hong Kong,Crest Dynamics Ltd.,Vertex Enterprises Ltd.,Includes 24/7 support SLA with penalty clauses,20-ก.พ.-2027,20-ก.พ.-2027,14-ม.ค.-2029,David W.,-,Renewed,"$362,200"
2162,Telecommunications,Satellite Communication Contract #3161,United States,Alliance Systems Inc.,Internal - Procurement,"Auto-renew clause, 60 days notice required",22-มิ.ย.-2023,22-มิ.ย.-2023,16-ม.ค.-2026,Anucha O.,No issues reported this cycle,Expired/Not renewed,"$386,200"
2163,Software Licensing,Cybersecurity Software License #3162,India,Apex Industries Pvt. Ltd.,Internal - Marketing Dept.,Renewal contingent on performance KPIs,16-พ.ย.-2026,30-พ.ย.-2026,28-ธ.ค.-2028,Ploy K.,Scope extension being discussed with partner,Renewed,"$340,500"
2164,Software Licensing,CRM Platform Subscription Agreement #3163,Indonesia,Apex Trading PT,Nova Enterprises PT,Exclusive regional distribution rights included,24-ก.พ.-2024,24-ก.พ.-2024,02-ธ.ค.-2026,Aiko O.,Flagged for cost optimization review,Upcoming renewal,"$117,500"
2165,Construction & Maintenance,Civil Works Contract #3164,Germany,Beacon Solutions GmbH,Internal - IT Dept.,Pricing subject to annual CPI adjustment,09-พ.ค.-2024,09-พ.ค.-2024,01-ธ.ค.-2026,Wanida L.,Budget approval pending for renewal,Upcoming renewal,"$134,000"
2166,Construction & Maintenance,Civil Works Contract #3165,South Korea,"Sterling Systems Co., Ltd.",Internal - IT Dept.,-,06-ก.ย.-2024,20-ก.ย.-2024,31-ส.ค.-2028,Daniel O.,Vendor performance review scheduled,Renewed,"$1,944,800"
2167,Legal,Corporate Legal Advisory Retainer #3166,Singapore,Apex Dynamics Pte Ltd,Global Systems Pte Ltd,Volume discount tier applies above threshold spend,12-ต.ค.-2024,12-ต.ค.-2024,24-มิ.ย.-2026,Priya P.,Budget approval pending for renewal,Expired/Not renewed,"$187,600"
2168,Travel & Events,Conference Venue Agreement #3167,Taiwan,"Global Systems Co., Ltd.",Internal - IT Dept.,Includes quarterly business review meetings,12-ก.พ.-2027,26-ก.พ.-2027,11-ส.ค.-2028,Priya S.,Alternative vendors being benchmarked,Renewed,"$173,200"
2169,Cleaning & Facility,Pest Control Services Agreement #3168,India,Nova Innovations Pvt. Ltd.,Internal - Operations,"Auto-renew clause, 30 days notice required",12-ม.ค.-2025,26-ม.ค.-2025,23-ก.ย.-2026,Tanawat C.,Scope extension being discussed with partner,Upcoming renewal,"$167,500"
2170,Security,Physical Security & Guard Services #3169,Australia,Beacon Logistics Pty Ltd,Titan Industries Pty Ltd,-,12-มิ.ย.-2023,26-มิ.ย.-2023,08-พ.ย.-2026,Siti H.,Legal review in progress before renewal,Upcoming renewal,"$289,700"
2171,Real Estate & Leasing,Equipment Leasing Agreement #3170,Singapore,Silverline Logistics Pte Ltd,Internal - Admin Dept.,Includes quarterly business review meetings,30-ม.ค.-2025,13-ก.พ.-2025,03-ธ.ค.-2028,Kanokwan O.,No issues reported this cycle,Renewed,"$2,888,400"
2172,Security,Physical Security & Guard Services #3171,India,Beacon Solutions Pvt. Ltd.,Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",07-ก.ค.-2023,07-ก.ค.-2023,25-พ.ย.-2026,Kanokwan G.,Legal review in progress before renewal,Upcoming renewal,"$133,900"
2173,Financial Services,Treasury Management Contract #3172,United Kingdom,Orion Group Ltd.,Internal - Marketing Dept.,"Multi-year framework agreement, reviewed yearly",09-เม.ย.-2027,09-เม.ย.-2027,02-ส.ค.-2028,Siti L.,Legal review in progress before renewal,Renewed,"$268,400"
2174,Consulting,Business Process Improvement Engagement #3173,Indonesia,Falcon Ventures PT,Crest Technologies PT,Volume discount tier applies above threshold spend,06-มิ.ย.-2025,06-มิ.ย.-2025,10-ธ.ค.-2026,Laura G.,Legal review in progress before renewal,Negotiation in progress,"$278,400"
2175,Legal,Litigation Support Contract #3174,Vietnam,Alliance Solutions JSC,Internal - IT Dept.,Pricing subject to annual CPI adjustment,20-ก.ย.-2024,20-ก.ย.-2024,11-พ.ย.-2026,Somchai P.,Vendor performance review scheduled,Upcoming renewal,"$473,700"
2176,Marketing,Creative & Branding Services #3175,India,Unity Holdings Pvt. Ltd.,Internal - HR Dept.,Exclusive regional distribution rights included,12-ส.ค.-2022,12-ส.ค.-2022,05-ก.พ.-2025,Sarah L.,"Renewal quote received, under internal review",Expired/Not renewed,"$298,000"
2177,Manufacturing Supply,Packaging Supply Contract #3176,Malaysia,Sterling Technologies Sdn Bhd,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,10-มี.ค.-2024,10-มี.ค.-2024,14-ธ.ค.-2026,Anucha S.,Vendor performance review scheduled,Negotiation in progress,"$1,810,500"
2178,Software Licensing,Cybersecurity Software License #3177,Hong Kong,Vertex Trading Ltd.,Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,15-ม.ค.-2025,15-ม.ค.-2025,15-ต.ค.-2026,Priya B.,Scope extension being discussed with partner,Upcoming renewal,"$1,058,300"
2179,Financial Services,Corporate Banking Services Agreement #3178,Hong Kong,Summit Enterprises Ltd.,Bright Holdings Ltd.,Renewal contingent on performance KPIs,05-ก.ค.-2022,05-ก.ค.-2022,12-เม.ย.-2025,Laura A.,No issues reported this cycle,Expired/Not renewed,"$876,700"
2180,Training & Development,E-Learning Platform License #3179,Japan,Orion Systems K.K.,Titan Partners K.K.,Includes quarterly business review meetings,20-ต.ค.-2024,27-ต.ค.-2024,31-ก.ค.-2028,Aiko I.,No issues reported this cycle,Renewed,"$149,900"
2181,Software Licensing,Cybersecurity Software License #3180,China,"Radiant Industries Co., Ltd.",Internal - HR Dept.,Exclusive regional distribution rights included,26-เม.ย.-2024,10-พ.ค.-2024,03-พ.ค.-2028,Suchada B.,Flagged for cost optimization review,Renewed,"$2,773,700"
2182,Manufacturing Supply,Packaging Supply Contract #3181,Indonesia,Beacon Trading PT,Silverline Innovations PT,Service level agreement reviewed annually,19-ต.ค.-2023,19-ต.ค.-2023,04-ธ.ค.-2026,David S.,-,Negotiation in progress,"$2,373,000"
2183,Telecommunications,Internet Leased Line Contract #3182,Thailand,"Beacon Holdings Co., Ltd.","Unity Trading Co., Ltd.",-,01-ก.ค.-2025,15-ก.ค.-2025,15-พ.ย.-2026,Chloe B.,Vendor performance review scheduled,Upcoming renewal,"$587,000"
2184,Telecommunications,Internet Leased Line Contract #3183,France,Prime Dynamics SAS,Internal - HR Dept.,"Auto-renew clause, 30 days notice required",16-ธ.ค.-2025,16-ธ.ค.-2025,01-ก.พ.-2028,Yuki D.,Vendor performance review scheduled,Renewed,"$486,200"
2185,Financial Services,Payment Gateway Services Agreement #3184,Singapore,Crown Technologies Pte Ltd,Internal - IT Security,"Multi-year framework agreement, reviewed yearly",09-พ.ย.-2025,09-พ.ย.-2025,10-พ.ย.-2028,Minji E.,"Renewal quote received, under internal review",Renewed,"$695,100"
2186,Travel & Events,Conference Venue Agreement #3185,Cambodia,"Unity Networks Co., Ltd.","Bright Technologies Co., Ltd.","Multi-year framework agreement, reviewed yearly",14-มี.ค.-2023,14-มี.ค.-2023,15-ม.ค.-2027,Ahmed W.,Relationship manager reassigned this quarter,Negotiation in progress,"$77,600"
2187,Insurance,Property & Casualty Insurance Contract #3186,Indonesia,Anchor Group PT,Internal - Legal Dept.,Service level agreement reviewed annually,28-ก.ย.-2024,05-ต.ค.-2024,06-ธ.ค.-2026,Minji A.,Alternative vendors being benchmarked,Upcoming renewal,"$1,297,900"
2188,Legal,Compliance Advisory Agreement #3187,France,Zenith Systems SAS,Cascade Logistics SAS,"Multi-year framework agreement, reviewed yearly",30-ม.ค.-2026,30-ม.ค.-2026,14-ก.ค.-2027,Nathan K.,"Renewal quote received, under internal review",Renewed,"$338,200"
2189,Legal,Corporate Legal Advisory Retainer #3188,Thailand,"Falcon Solutions Co., Ltd.","Vertex Holdings Co., Ltd.",Renewal contingent on performance KPIs,16-มี.ค.-2025,16-มี.ค.-2025,15-มี.ค.-2028,Tanawat J.,Relationship manager reassigned this quarter,Renewed,"$479,000"
2190,Manufacturing Supply,Component Manufacturing Contract #3189,United Arab Emirates,Crest Systems LLC,Internal - Corporate Affairs,Service level agreement reviewed annually,28-เม.ย.-2023,28-เม.ย.-2023,18-พ.ย.-2026,Michael I.,Flagged for cost optimization review,Negotiation in progress,"$2,952,500"
2191,Consulting,Business Process Improvement Engagement #3190,Myanmar,"Zenith Holdings Co., Ltd.",Internal - Supply Chain,Volume discount tier applies above threshold spend,17-ธ.ค.-2022,24-ธ.ค.-2022,21-ก.ย.-2026,Piyawan A.,Scope extension being discussed with partner,Upcoming renewal,"$917,600"
2192,Telecommunications,Satellite Communication Contract #3191,Hong Kong,Atlas Ventures Ltd.,Bright Enterprises Ltd.,Pricing subject to annual CPI adjustment,10-ธ.ค.-2022,10-ธ.ค.-2022,02-พ.ค.-2025,Wanida L.,-,Expired/Not renewed,"$679,300"
2193,Waste Management,Waste Collection & Disposal Contract #3192,Cambodia,"Onyx Enterprises Co., Ltd.",Internal - Finance Dept.,"Multi-year framework agreement, reviewed yearly",26-ต.ค.-2022,09-พ.ย.-2022,11-ก.ค.-2026,Nattapong T.,Relationship manager reassigned this quarter,Expired/Not renewed,"$70,800"
2194,HR & Payroll,Employee Benefits Administration #3193,Malaysia,Vertex Innovations Sdn Bhd,Cascade Consulting Sdn Bhd,Pricing subject to annual CPI adjustment,09-ส.ค.-2022,16-ส.ค.-2022,08-ก.ค.-2024,Laura B.,-,Expired/Not renewed,"$272,900"
2195,Printing & Publishing,Annual Report Design & Print Contract #3194,Indonesia,Zenith Solutions PT,Internal - IT Dept.,Volume discount tier applies above threshold spend,10-เม.ย.-2023,10-เม.ย.-2023,13-ธ.ค.-2026,Emily F.,No issues reported this cycle,Upcoming renewal,"$174,900"
2196,Telecommunications,VoIP Services Agreement #3195,United States,Evergreen Industries Inc.,Internal - IT Security,-,16-พ.ค.-2025,16-พ.ค.-2025,17-ต.ค.-2026,Daniel B.,Relationship manager reassigned this quarter,Upcoming renewal,"$571,300"
2197,Financial Services,Corporate Banking Services Agreement #3196,Malaysia,Beacon Trading Sdn Bhd,Internal - Corporate Affairs,Exclusive regional distribution rights included,06-ธ.ค.-2022,20-ธ.ค.-2022,30-พ.ย.-2026,Carlos F.,No issues reported this cycle,Upcoming renewal,"$85,000"
2198,Insurance,Cargo Insurance Agreement #3197,Vietnam,Beacon Services JSC,Internal - Procurement,Exclusive regional distribution rights included,05-ม.ค.-2023,19-ม.ค.-2023,15-ก.ค.-2026,Budi H.,Budget approval pending for renewal,Expired/Not renewed,"$949,200"
2199,Printing & Publishing,Signage & Print Production Agreement #3198,United Arab Emirates,Sterling Services LLC,Bright Solutions LLC,Includes 24/7 support SLA with penalty clauses,10-ธ.ค.-2022,10-ธ.ค.-2022,26-ต.ค.-2025,Laura T.,Scope extension being discussed with partner,Expired/Not renewed,"$62,900"
2200,Software Licensing,CRM Platform Subscription Agreement #3199,Germany,Trident Technologies GmbH,Vertex Dynamics GmbH,"Multi-year framework agreement, reviewed yearly",25-ก.พ.-2024,25-ก.พ.-2024,06-ต.ค.-2026,Chloe K.,Legal review in progress before renewal,Upcoming renewal,"$142,100"
2201,Construction & Maintenance,Civil Works Contract #3200,Singapore,Unity Ventures Pte Ltd,Internal - Finance Dept.,Volume discount tier applies above threshold spend,22-ต.ค.-2022,05-พ.ย.-2022,21-ธ.ค.-2024,Hiroshi G.,Alternative vendors being benchmarked,Expired/Not renewed,"$1,810,900"
2202,Training & Development,Leadership Development Engagement #3201,China,"Apex Dynamics Co., Ltd.",Internal - IT Security,-,11-เม.ย.-2024,11-เม.ย.-2024,06-เม.ย.-2028,Daniel T.,"Renewal quote received, under internal review",Renewed,"$139,500"
2203,Logistics,Last-Mile Delivery Partnership #3202,United Kingdom,Delta Dynamics Ltd.,Internal - HR Dept.,Pricing subject to annual CPI adjustment,10-พ.ค.-2024,24-พ.ค.-2024,01-ธ.ค.-2027,Anucha R.,Relationship manager reassigned this quarter,Renewed,"$1,119,500"
2204,Travel & Events,Corporate Travel Management Agreement #3203,Singapore,Meridian Holdings Pte Ltd,Internal - Admin Dept.,Includes 24/7 support SLA with penalty clauses,06-เม.ย.-2025,06-เม.ย.-2025,01-ก.พ.-2027,Chloe I.,-,Negotiation in progress,"$393,000"
2205,Telecommunications,Internet Leased Line Contract #3204,France,Global Technologies SAS,Internal - IT Security,-,25-พ.ค.-2023,25-พ.ค.-2023,25-พ.ย.-2026,Nathan L.,Alternative vendors being benchmarked,Upcoming renewal,"$287,900"
2206,Fleet & Transportation,Vehicle Leasing Agreement #3205,Indonesia,Summit Industries PT,BlueSky Innovations PT,Volume discount tier applies above threshold spend,25-ส.ค.-2023,01-ก.ย.-2023,06-พ.ย.-2026,Laura P.,Scope extension being discussed with partner,Upcoming renewal,"$891,400"
2207,IT Services,Data Center Colocation Contract #3206,Thailand,"Onyx Services Co., Ltd.",Internal - E-commerce,Exclusive regional distribution rights included,03-ม.ค.-2025,03-ม.ค.-2025,20-ต.ค.-2026,Ahmed T.,-,Upcoming renewal,"$519,500"
2208,IT Services,Data Center Colocation Contract #3207,Cambodia,"Lumen Solutions Co., Ltd.","Bright Innovations Co., Ltd.",Includes quarterly business review meetings,27-มี.ค.-2025,27-มี.ค.-2025,21-พ.ค.-2027,Fatima N.,Scope extension being discussed with partner,Renewed,"$569,300"
2209,Software Licensing,Business Intelligence Platform License #3208,Australia,Quantum Partners Pty Ltd,Internal - Supply Chain,"Auto-renew clause, 60 days notice required",23-มิ.ย.-2021,30-มิ.ย.-2021,24-ธ.ค.-2024,Minji W.,-,Expired/Not renewed,"$2,453,700"
2210,Manufacturing Supply,Raw Material Supply Agreement #3209,Singapore,Prime Innovations Pte Ltd,Internal - HR Dept.,-,09-พ.ย.-2025,09-พ.ย.-2025,12-ม.ค.-2027,Minji H.,Relationship manager reassigned this quarter,Negotiation in progress,"$3,157,300"
2211,Insurance,Cyber Liability Insurance Policy #3210,India,Quantum Ventures Pvt. Ltd.,Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,08-ธ.ค.-2021,08-ธ.ค.-2021,20-พ.ค.-2025,Sarah R.,Relationship manager reassigned this quarter,Expired/Not renewed,"$1,316,200"
2212,Insurance,Cyber Liability Insurance Policy #3211,Thailand,"Sterling Systems Co., Ltd.","Granite Networks Co., Ltd.",Service level agreement reviewed annually,11-ก.พ.-2023,11-ก.พ.-2023,29-พ.ย.-2026,Budi R.,Flagged for cost optimization review,Upcoming renewal,"$128,600"
2213,Financial Services,Audit & Assurance Engagement #3212,South Korea,"Meridian Systems Co., Ltd.",Internal - Procurement,Service level agreement reviewed annually,09-ธ.ค.-2024,09-ธ.ค.-2024,26-พ.ย.-2026,Aiko N.,Scope extension being discussed with partner,Negotiation in progress,"$644,000"
2214,Fleet & Transportation,Vehicle Leasing Agreement #3213,Cambodia,"Ivory Holdings Co., Ltd.",Internal - Corporate Affairs,"Auto-renew clause, 45 days notice required",31-พ.ค.-2025,31-พ.ค.-2025,07-ส.ค.-2027,Somchai O.,Legal review in progress before renewal,Renewed,"$602,400"
2215,Printing & Publishing,Corporate Printing Services Agreement #3214,China,"Falcon Networks Co., Ltd.",Internal - Finance Dept.,Pricing subject to annual CPI adjustment,27-ก.ย.-2023,04-ต.ค.-2023,19-พ.ย.-2026,Yuki I.,Flagged for cost optimization review,Upcoming renewal,"$6,400"
2216,Fleet & Transportation,Corporate Shuttle Service Contract #3215,South Korea,"Pinnacle Consulting Co., Ltd.","Vanguard Technologies Co., Ltd.",Includes 24/7 support SLA with penalty clauses,02-ส.ค.-2025,09-ส.ค.-2025,15-ก.พ.-2029,Ravi M.,Alternative vendors being benchmarked,Renewed,"$840,300"
2217,Software Licensing,CRM Platform Subscription Agreement #3216,China,"Crest Ventures Co., Ltd.",Internal - Supply Chain,Pricing subject to annual CPI adjustment,24-พ.ค.-2026,07-มิ.ย.-2026,19-มี.ค.-2028,Somchai R.,Vendor performance review scheduled,Renewed,"$1,321,500"
2218,Marketing,Media Buying Agreement #3217,United Arab Emirates,Orion Logistics LLC,Internal - Corporate Affairs,Includes 24/7 support SLA with penalty clauses,02-ก.พ.-2023,09-ก.พ.-2023,01-ธ.ค.-2026,Ploy R.,Legal review in progress before renewal,Upcoming renewal,"$896,500"
2219,Telecommunications,VoIP Services Agreement #3218,Indonesia,BlueSky Solutions PT,Internal - IT Security,Exclusive regional distribution rights included,28-ก.ค.-2022,28-ก.ค.-2022,11-มี.ค.-2026,Piyawan N.,-,Expired/Not renewed,"$458,800"
2220,Logistics,Warehouse Lease & Operation Agreement #3219,United Kingdom,Crest Partners Ltd.,Internal - HR Dept.,Volume discount tier applies above threshold spend,24-เม.ย.-2024,24-เม.ย.-2024,02-ต.ค.-2026,Piyawan H.,Scope extension being discussed with partner,Upcoming renewal,"$147,300"
2221,Fleet & Transportation,Fleet Maintenance Agreement #3220,South Korea,"Metro Solutions Co., Ltd.","Pacific Group Co., Ltd.",Renewal contingent on performance KPIs,10-ก.พ.-2024,24-ก.พ.-2024,17-ธ.ค.-2027,Hiroshi A.,Budget approval pending for renewal,Renewed,"$304,600"
2222,Financial Services,Corporate Banking Services Agreement #3221,Indonesia,Titan Trading PT,Internal - HR Dept.,Renewal contingent on performance KPIs,13-มิ.ย.-2023,13-มิ.ย.-2023,04-ม.ค.-2027,Laura C.,Budget approval pending for renewal,Negotiation in progress,"$366,000"
2223,Marketing,Brand Campaign Agreement #3222,France,Pinnacle Enterprises SAS,Beacon Consulting SAS,"Multi-year framework agreement, reviewed yearly",22-ม.ค.-2022,22-ม.ค.-2022,24-มิ.ย.-2025,Laura L.,No issues reported this cycle,Expired/Not renewed,"$598,200"
2224,Financial Services,Treasury Management Contract #3223,Taiwan,"Delta Systems Co., Ltd.",Internal - IT Security,-,01-ม.ค.-2023,15-ม.ค.-2023,22-ก.ย.-2024,Michael M.,Alternative vendors being benchmarked,Expired/Not renewed,"$626,300"
2225,Cleaning & Facility,Janitorial Services Agreement #3224,China,"Delta Technologies Co., Ltd.",Internal - HR Dept.,Pricing subject to annual CPI adjustment,28-ก.พ.-2022,28-ก.พ.-2022,01-ต.ค.-2024,Carlos M.,Relationship manager reassigned this quarter,Expired/Not renewed,"$156,700"
2226,Fleet & Transportation,Fleet Maintenance Agreement #3225,France,Quantum Networks SAS,Internal - Procurement,-,26-พ.ย.-2024,03-ธ.ค.-2024,28-ส.ค.-2026,Suchada C.,No issues reported this cycle,Expired/Not renewed,"$735,600"
2227,Construction & Maintenance,Civil Works Contract #3226,Indonesia,Global Enterprises PT,Internal - IT Security,Includes quarterly business review meetings,10-เม.ย.-2023,10-เม.ย.-2023,27-เม.ย.-2026,Wei D.,Alternative vendors being benchmarked,Expired/Not renewed,"$1,155,000"
2228,Security,Physical Security & Guard Services #3227,India,Cascade Networks Pvt. Ltd.,NorthStar Logistics Pvt. Ltd.,Pricing subject to annual CPI adjustment,04-ก.ค.-2025,18-ก.ค.-2025,12-พ.ย.-2027,Grace K.,Flagged for cost optimization review,Renewed,"$117,900"
2229,Cleaning & Facility,Janitorial Services Agreement #3228,India,Quantum Partners Pvt. Ltd.,Internal - Supply Chain,-,20-ธ.ค.-2022,20-ธ.ค.-2022,27-ก.ย.-2026,Anucha I.,Legal review in progress before renewal,Upcoming renewal,"$116,500"
2230,Marketing,Media Buying Agreement #3229,China,"BlueSky Logistics Co., Ltd.",Internal - Operations,"Auto-renew clause, 90 days notice required",28-พ.ค.-2024,04-มิ.ย.-2024,12-ก.ย.-2025,Priya G.,Scope extension being discussed with partner,Expired/Not renewed,"$266,400"
2231,HR & Payroll,Outsourced Payroll Processing Contract #3230,Philippines,Granite Logistics Inc.,Pinnacle Dynamics Inc.,-,19-ต.ค.-2024,19-ต.ค.-2024,07-ธ.ค.-2026,James I.,Relationship manager reassigned this quarter,Negotiation in progress,"$24,300"
2232,Travel & Events,Conference Venue Agreement #3231,Malaysia,Onyx Holdings Sdn Bhd,Internal - Supply Chain,Pricing subject to annual CPI adjustment,21-ส.ค.-2021,21-ส.ค.-2021,19-เม.ย.-2025,Sarah E.,Legal review in progress before renewal,Expired/Not renewed,"$200,900"
2233,Training & Development,E-Learning Platform License #3232,United Kingdom,Meridian Dynamics Ltd.,Internal - Supply Chain,Volume discount tier applies above threshold spend,07-ก.ค.-2025,07-ก.ค.-2025,10-ก.พ.-2027,David K.,Alternative vendors being benchmarked,Negotiation in progress,"$145,800"
2234,Manufacturing Supply,Component Manufacturing Contract #3233,Germany,Pacific Services GmbH,Metro Enterprises GmbH,Volume discount tier applies above threshold spend,15-ส.ค.-2025,15-ส.ค.-2025,26-พ.ค.-2027,Minji F.,Legal review in progress before renewal,Renewed,"$1,448,400"
2235,HR & Payroll,Employee Benefits Administration #3234,South Korea,"Pinnacle Logistics Co., Ltd.",Internal - Finance Dept.,-,15-เม.ย.-2023,15-เม.ย.-2023,05-พ.ค.-2025,Aiko J.,Vendor performance review scheduled,Expired/Not renewed,"$286,400"
2236,Real Estate & Leasing,Equipment Leasing Agreement #3235,Myanmar,"Apex Industries Co., Ltd.",Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,21-เม.ย.-2023,05-พ.ค.-2023,12-ก.ย.-2025,Budi E.,Relationship manager reassigned this quarter,Expired/Not renewed,"$3,499,200"
2237,Marketing,Brand Campaign Agreement #3236,India,Evergreen Consulting Pvt. Ltd.,Horizon Networks Pvt. Ltd.,"Auto-renew clause, 15 days notice required",30-มิ.ย.-2021,30-มิ.ย.-2021,08-ก.ย.-2024,Aiko B.,Legal review in progress before renewal,Expired/Not renewed,"$546,300"
2238,Telecommunications,VoIP Services Agreement #3237,Japan,Vanguard Systems K.K.,Vanguard Systems K.K.,Service level agreement reviewed annually,10-มี.ค.-2021,24-มี.ค.-2021,27-ก.ค.-2024,Hiroshi G.,-,Expired/Not renewed,"$83,200"
2239,Logistics,Fleet Logistics Services Contract #3238,France,NorthStar Holdings SAS,Anchor Ventures SAS,Includes 24/7 support SLA with penalty clauses,07-ส.ค.-2025,21-ส.ค.-2025,25-พ.ย.-2026,Sarah K.,Budget approval pending for renewal,Upcoming renewal,"$1,629,300"
2240,Travel & Events,Corporate Travel Management Agreement #3239,Malaysia,Summit Enterprises Sdn Bhd,Internal - Supply Chain,Service level agreement reviewed annually,20-พ.ค.-2025,27-พ.ค.-2025,26-ก.ย.-2026,Piyawan A.,Flagged for cost optimization review,Upcoming renewal,"$92,600"
2241,Manufacturing Supply,Packaging Supply Contract #3240,United Arab Emirates,Anchor Services LLC,Internal - Supply Chain,"Multi-year framework agreement, reviewed yearly",15-มี.ค.-2024,22-มี.ค.-2024,14-ธ.ค.-2026,Budi P.,Legal review in progress before renewal,Upcoming renewal,"$2,651,500"
2242,Manufacturing Supply,Packaging Supply Contract #3241,Japan,Crown Holdings K.K.,Atlas Trading K.K.,Pricing subject to annual CPI adjustment,19-พ.ย.-2024,19-พ.ย.-2024,04-ม.ค.-2027,Arjun C.,Scope extension being discussed with partner,Negotiation in progress,"$572,200"
2243,Construction & Maintenance,Civil Works Contract #3242,Vietnam,Granite Trading JSC,Internal - Procurement,Exclusive regional distribution rights included,14-มี.ค.-2025,28-มี.ค.-2025,05-เม.ย.-2028,Grace T.,-,Renewed,"$831,600"
2244,HR & Payroll,HR Systems Implementation Contract #3243,South Korea,"Anchor Services Co., Ltd.",Internal - Corporate Affairs,Service level agreement reviewed annually,29-เม.ย.-2025,29-เม.ย.-2025,26-ต.ค.-2026,Minji R.,Budget approval pending for renewal,Negotiation in progress,"$232,100"
2245,Marketing,Influencer Partnership Contract #3244,China,"Bright Trading Co., Ltd.",Internal - Corporate Affairs,Includes quarterly business review meetings,01-มี.ค.-2024,08-มี.ค.-2024,25-พ.ย.-2027,Carlos O.,Legal review in progress before renewal,Renewed,"$383,600"
2246,Cleaning & Facility,Pest Control Services Agreement #3245,Germany,Nova Enterprises GmbH,Internal - Corporate Affairs,Service level agreement reviewed annually,09-ม.ค.-2025,09-ม.ค.-2025,22-พ.ย.-2026,Piyawan S.,-,Upcoming renewal,"$210,700"
2247,Real Estate & Leasing,Office Space Lease Agreement #3246,Japan,Orion Partners K.K.,Internal - IT Security,Includes quarterly business review meetings,09-ก.พ.-2027,09-ก.พ.-2027,16-เม.ย.-2028,Emily F.,Alternative vendors being benchmarked,Renewed,"$3,595,700"
2248,Cleaning & Facility,Facility Maintenance Contract #3247,Taiwan,"Unity Solutions Co., Ltd.",Internal - HR Dept.,Includes quarterly business review meetings,02-เม.ย.-2023,16-เม.ย.-2023,29-พ.ย.-2026,Carlos W.,Alternative vendors being benchmarked,Upcoming renewal,"$327,500"
2249,Training & Development,Corporate Training Program Agreement #3248,Myanmar,"Prime Logistics Co., Ltd.","Anchor Capital Co., Ltd.",Renewal contingent on performance KPIs,05-พ.ย.-2023,19-พ.ย.-2023,30-ธ.ค.-2026,Priya J.,Alternative vendors being benchmarked,Negotiation in progress,"$99,500"
2250,IT Services,IT Helpdesk & Support Contract #3249,Cambodia,"Nova Enterprises Co., Ltd.",Internal - E-commerce,Exclusive regional distribution rights included,08-มี.ค.-2026,08-มี.ค.-2026,12-มี.ค.-2028,Ahmed A.,No issues reported this cycle,Renewed,"$1,984,900"
2251,Travel & Events,Corporate Travel Management Agreement #3250,Philippines,Atlas Ventures Inc.,Internal - Legal Dept.,Includes quarterly business review meetings,19-ธ.ค.-2023,19-ธ.ค.-2023,13-ก.ย.-2027,Emily K.,Flagged for cost optimization review,Renewed,"$256,500"
2252,Real Estate & Leasing,Office Space Lease Agreement #3251,Philippines,Crest Logistics Inc.,Cascade Dynamics Inc.,"Auto-renew clause, 45 days notice required",20-มิ.ย.-2023,27-มิ.ย.-2023,24-พ.ย.-2026,Carlos H.,"Renewal quote received, under internal review",Negotiation in progress,"$2,018,900"
2253,Insurance,Cyber Liability Insurance Policy #3252,Myanmar,"Atlas Consulting Co., Ltd.",Internal - HR Dept.,-,20-ส.ค.-2021,03-ก.ย.-2021,02-ส.ค.-2025,Wei R.,Legal review in progress before renewal,Expired/Not renewed,"$1,434,900"
